[(-48, -410), (2016, 2471)]
[(-48, -410), (1956, 2247)]
[(-48, -410), (1969, 2194)]
[(-48, -410), (2041, 2358)]
[(-48, -410), (2041, 2358)]
[(-48, -410), (2065, 2309)]
[(-48, -410), (2105, 2317)]
[(-48, -410), (2105, 2317)]
[(-48, -410), (2016, 2003)]
[(-45, -393), (2172, 2343)]
[(-45, -393), (2229, 2367)]
[(-45, -393), (2238, 2234)]
[(-45, -393), (2238, 2234)]
[(-45, -393), (2238, 2234)]
[(-42, -410), (2283, 2180)]
[(-43, -408), (2305, 2119)]
[(-43, -408), (2305, 2119)]
[(-43, -408), (2302, 2044)]
[(-42, -410), (2314, 2017)]
[(-43, -408), (2265, 1872)]
[(-43, -408), (2265, 1872)]
[(-43, -408), (2327, 1993)]
[(-43, -408), (2329, 1931)]
[(-43, -408), (2329, 1931)]
[(-43, -408), (2301, 1814)]
[(-43, -408), (2372, 1883)]
[(-43, -408), (2372, 1883)]
[(-43, -408), (2291, 1655)]
[(-43, -406), (2366, 1732)]
[(-43, -406), (2561, 2024)]
[(-43, -408), (2834, 2519)]
[(-43, -408), (2834, 2519)]
[(-43, -406)]
[(-43, -406)]
[(-43, -406), (2531, 1866)]
[(-43, -406), (2585, 1916)]
[(-43, -406), (2530, 1776)]
[(-43, -406), (2613, 1920)]
[(-43, -406), (2641, 1970)]
[(-43, -406), (2603, 1874)]
[(-43, -406), (2603, 1874)]
[(-43, -406), (2537, 1731)]
[(-43, -406), (2457, 1592)]
[(-43, -406), (2357, 1419)]
[(-43, -406), (2373, 1460)]
[(-43, -406), (2388, 1499)]
[(-43, -406), (2316, 1373)]
[(-43, -406), (2316, 1373)]
[(-43, -406), (2248, 1253)]
[(-43, -406), (2196, 1176), (1257, 3439)]
[(-43, -406), (-1017, -4407), (1257, 3439)]
[(-43, -406), (-1019, -4409), (1756, 210)]
[(-43, -406), (-1022, -4412), (1752, 30)]
[(-43, -406), (1745, 54)]
[(-43, -406), (1749, 7)]
[(-43, -408), (1741, 31)]
[(-43, -408), (1741, 31)]
[(-43, -408), (1745, -22)]
[(-43, -408), (1747, -61)]
[(-45, -390), (1750, -99)]
[(-45, -390), (1750, -99)]
[(-45, -390), (1750, -99)]
[(-45, -390), (1755, -86)]
[(-45, -390), (1755, -86)]
[(-45, -390), (1762, -112)]
[(-45, -390), (1773, -178)]
[(-45, -390), (1769, -125)]
[(-45, -390), (1761, -99)]
